Species_ID	Gene_ID	Group	Annotation
Rfer	XP_032979350.1	Dmrt	Dmrt-3
Cimi	XP_017373824.1	Dmrt	Dmrt-3
Oafe	XP_007954185.1	Dmrt	Dmrt-3
Cdid	XP_037653502.1	Dmrt	Dmrt-3
Mjav	XP_036847248.1	Dmrt	Dmrt-3
Mmus	XP_006527129.1	Dmrt	Dmrt-3
Equa	XP_046521022.1	Dmrt	Dmrt-3
Drot	XP_053780057.1	Dmrt	Dmrt-3
Hamp	XP_057581111.1	Dmrt	Dmrt-3
Lcat	XP_045418289.1	Dmrt	Dmrt-3
Clup	XP_038381546.1	Dmrt	Dmrt-3
Bmus	XP_036712559.1	Dmrt	Dmrt-3
Oana	XP_028910685.1	Dmrt	Dmrt-3
Casi	XP_006863796.1	Dmrt	Dmrt-3
Scar	XP_047381281.1	Dmrt	Dmrt-3
Ptig	XP_042820871.1	Dmrt	Dmrt-3
Cpor	XP_003472245.1	Dmrt	Dmrt-3
Mdom	XP_001365681.1	Dmrt	Dmrt-3
Csim	XP_004440708.1	Dmrt	Dmrt-3
Emax	XP_049752714.1	Dmrt	Dmrt-3
Opri	XP_004591889.2	Dmrt	Dmrt-3
Shar	XP_031799800.1	Dmrt	Dmrt-3
Cdro	XP_031305659.1	Dmrt	Dmrt-3
Bbub	XP_025137363.1	Dmrt	Dmrt-3
Pafr	XP_047625503.1	Dmrt	Dmrt-3
Mang	XP_045737886.1	Dmrt	Dmrt-3
Dnov	XP_004459447.2	Dmrt	Dmrt-3
Pgig	XP_039743957.1	Dmrt	Dmrt-3
Ttru	XP_019789710.1	Dmrt	Dmrt-3
Ggal	XP_429193.2	Dmrt	Dmrt-3
Amel	XP_034503143.1	Dmrt	Dmrt-3
Oafe	XP_007954174.1	Dmrt	Dmrt-1
Mdom	XP_001365618.1	Dmrt	Dmrt-1
Tman	XP_004373524.1	Dmrt	Dmrt-1
Cdro	XP_031305660.1	Dmrt	Dmrt-1
Bmus	XP_036711655.1	Dmrt	Dmrt-1
Shar	XP_031799789.1	Dmrt	Dmrt-1
Equa	XP_046519850.1	Dmrt	Dmrt-1
Bbub	XP_025137364.1	Dmrt	Dmrt-1
Hsap	XP_006716795.1	Dmrt	Dmrt-1
Pafr	XP_047625504.1	Dmrt	Dmrt-1
Drot	XP_053774861.1	Dmrt	Dmrt-1
Cpor	XP_023421841.1	Dmrt	Dmrt-1
Mang	XP_045738144.1	Dmrt	Dmrt-1
Emax	XP_049752111.1	Dmrt	Dmrt-1
Clup	XP_038383087.1	Dmrt	Dmrt-1
Ptig	XP_042820071.1	Dmrt	Dmrt-1
Mmus	NP_056641.2	Dmrt	Dmrt-1
Opri	XP_058513291.1	Dmrt	Dmrt-1
Csim	XP_014650940.1	Dmrt	Dmrt-1
Pgig	XP_039744060.1	Dmrt	Dmrt-1
Ggal	XP_040511578.1	Dmrt	Dmrt-1
Oana	XP_028910684.1	Dmrt	Dmrt-1
Amel	XP_011224113.2	Dmrt	Dmrt-1
Ttru	XP_033714027.1	Dmrt	Dmrt-1
Cdid	XP_037653737.1	Dmrt	Dmrt-1
Hamp	XP_057579864.1	Dmrt	Dmrt-1
Rfer	XP_032979671.1	Dmrt	Dmrt-1
Casi	XP_006863795.1	Dmrt	Dmrt-1
Scar	XP_047381742.1	Dmrt	Dmrt-1
Mjav	XP_036847220.1	Dmrt	Dmrt-1
Lcat	XP_045418248.1	Dmrt	Dmrt-1
Cimi	XP_017373819.1	Dmrt	Dmrt-1
Dnov	XP_058158898.1	Dmrt	Dmrt-1
Oana	XP_039766676.1	Dmrt	Dmrt-A1
Cimi	XP_017401520.1	Dmrt	Dmrt-A1
Mdom	XP_001374014.2	Dmrt	Dmrt-A1
Mang	XP_045737916.1	Dmrt	Dmrt-A1
Bmus	XP_036712737.1	Dmrt	Dmrt-A1
Tman	XP_004373619.1	Dmrt	Dmrt-A1
Hsap	NP_071443.2	Dmrt	Dmrt-A1
Emax	XP_049751570.1	Dmrt	Dmrt-A1
Drot	XP_053780867.1	Dmrt	Dmrt-A1
Scar	XP_047381594.1	Dmrt	Dmrt-A1
Hamp	XP_057580644.1	Dmrt	Dmrt-A1
Ttru	XP_004321228.1	Dmrt	Dmrt-A1
Opri	XP_058528639.1	Dmrt	Dmrt-A1
Rfer	XP_032978102.1	Dmrt	Dmrt-A1
Amel	XP_034519591.1	Dmrt	Dmrt-A1
Clup	XP_038408464.1	Dmrt	Dmrt-A1
Oafe	XP_007946600.1	Dmrt	Dmrt-A1
Pafr	XP_047625485.1	Dmrt	Dmrt-A1
Pgig	XP_039736661.1	Dmrt	Dmrt-A1
Cpor	XP_003478909.1	Dmrt	Dmrt-A1
Mmus	NP_783578.1	Dmrt	Dmrt-A1
Lcat	XP_045418524.1	Dmrt	Dmrt-A1
Bbub	XP_006067119.4	Dmrt	Dmrt-A1
Cdro	XP_010982933.2	Dmrt	Dmrt-A1
Csim	XP_004428451.1	Dmrt	Dmrt-A1
Mjav	XP_017516191.1	Dmrt	Dmrt-A1
Ptig	XP_007098573.2	Dmrt	Dmrt-A1
Casi	XP_006864558.1	Dmrt	Dmrt-A1
Cdid	XP_037653778.1	Dmrt	Dmrt-A1
Equa	XP_046520805.1	Dmrt	Dmrt-A1
Dnov	XP_004456130.1	Dmrt	Dmrt-A1
Ggal	XP_015146712.1	Dmrt	Dmrt-A2
Amel	XP_034508227.1	Dmrt	Dmrt-A2
Opri	XP_004588718.2	Dmrt	Dmrt-A2
Oana	XP_028902450.1	Dmrt	Dmrt-A2
Bbub	XP_025145263.1	Dmrt	Dmrt-A2
Oafe	XP_007944067.1	Dmrt	Dmrt-A2
Dnov	XP_004476539.1	Dmrt	Dmrt-A2
Cdid	XP_037672757.1	Dmrt	Dmrt-A2
Pgig	XP_039741660.1	Dmrt	Dmrt-A2
Hsap	NP_115486.1	Dmrt	Dmrt-A2
Mmus	NP_758500.2	Dmrt	Dmrt-A2
Ttru	XP_019793397.2	Dmrt	Dmrt-A2
Hamp	XP_057564703.1	Dmrt	Dmrt-A2
Csim	XP_014649324.1	Dmrt	Dmrt-A2
Bmus	XP_036726057.1	Dmrt	Dmrt-A2
Clup	XP_038413502.1	Dmrt	Dmrt-A2
Mjav	XP_036877643.1	Dmrt	Dmrt-A2
Pafr	XP_047648562.1	Dmrt	Dmrt-A2
Cdro	XP_031320961.1	Dmrt	Dmrt-A2
Cimi	XP_017404203.1	Dmrt	Dmrt-A2
Scar	XP_047394472.1	Dmrt	Dmrt-A2
Mang	XP_045751377.1	Dmrt	Dmrt-A2
Casi	XP_006839813.1	Dmrt	Dmrt-A2
Tman	XP_023582760.1	Dmrt	Dmrt-A2
Drot	XP_045060264.2	Dmrt	Dmrt-A2
Lcat	XP_045402400.1	Dmrt	Dmrt-A2
Rfer	XP_032969204.1	Dmrt	Dmrt-A2
Emax	XP_049731145.1	Dmrt	Dmrt-A2
Mdom	XP_001362692.2	Dmrt	Dmrt-A2
Cpor	XP_003463125.2	Dmrt	Dmrt-A2
Equa	XP_046516465.1	Dmrt	Dmrt-A2
Ptig	XP_042853035.1	Dmrt	Dmrt-A2
Cimi	XP_017353253.1	Fox	N/A
Cimi	XP_037600788.1	Fox	N/A
Tman	XP_023591424.1	Fox	Fox-M1
Bbub	XP_025138819.3	Fox	Fox-M1
Casi	XP_006862752.1	Fox	Fox-M1
Emax	XP_049738130.1	Fox	Fox-M1
Oafe	XP_007935251.1	Fox	Fox-M1
Drot	XP_053777572.1	Fox	Fox-M1
Ttru	XP_019781496.1	Fox	Fox-M1
Csim	XP_014649484.1	Fox	Fox-M1
Pafr	XP_047643777.1	Fox	Fox-M1
Oana	XP_028910212.1	Fox	Fox-M1
Mang	XP_045727136.1	Fox	Fox-M1
Opri	XP_058511953.1	Fox	Fox-M1
Pgig	XP_039725073.1	Fox	Fox-M1
Bmus	XP_036723013.1	Fox	Fox-M1
Dnov	XP_058156702.1	Fox	Fox-M1
Mjav	XP_017520172.2	Fox	Fox-M1
Amel	XP_034501532.1	Fox	Fox-M1
Equa	XP_046512461.1	Fox	Fox-M1
Dnov	XP_012379785.1	Fox	Fox-M1
Clup	XP_038432360.1	Fox	Fox-M1
Mdom	XP_056655089.1	Fox	Fox-M1
Rfer	XP_032974271.1	Fox	Fox-M1
Hamp	XP_057558870.1	Fox	Fox-M1
Cdro	XP_031300170.1	Fox	Fox-M1
Ptig	XP_042847499.1	Fox	Fox-M1
Shar	XP_031795171.1	Fox	Fox-M1
Ggal	XP_046799087.1	Fox	Fox-M1
Cdid	XP_037702327.1	Fox	Fox-M1
Mmus	NP_032047.4	Fox	Fox-M1
Cpor	XP_013000601.1	Fox	Fox-M1
Scar	XP_047405644.1	Fox	Fox-M1
Ggal	XP_015153061.3	Fox	Fox-O6
Cimi	XP_017397276.1	Fox	Fox-O6
Mdom	XP_001381541.2	Fox	Fox-O6
Pafr	XP_047645485.1	Fox	Fox-O6
Mmus	NP_918949.1	Fox	Fox-O6
Emax	XP_049731901.1	Fox	Fox-O6
Scar	XP_047415675.1	Fox	Fox-O6
Ptig	XP_042852325.1	Fox	Fox-O6
Ttru	XP_033692835.1	Fox	Fox-O6
Rfer	XP_032969239.1	Fox	Fox-O6
Tman	XP_023582811.1	Fox	Fox-O6
Pgig	XP_039732650.1	Fox	Fox-O6
Cdro	XP_010997575.2	Fox	Fox-O6
Bmus	XP_036684744.1	Fox	Fox-O6
Casi	XP_006867666.1	Fox	Fox-O6
Oana	XP_028936057.1	Fox	Fox-O6
Hsap	NP_001278210.2	Fox	Fox-O6
Clup	XP_038413629.1	Fox	Fox-O6
Oafe	XP_007950907.1	Fox	Fox-O6
Bbub	XP_044801109.1	Fox	Fox-O6
Hamp	XP_057605223.1	Fox	Fox-O6
Cpor	XP_004999818.1	Fox	Fox-O6
Dnov	XP_058159776.1	Fox	Fox-O6
Mang	XP_045753906.1	Fox	Fox-O6
Csim	XP_014639249.1	Fox	Fox-O6
Amel	XP_034509638.1	Fox	Fox-O6
Shar	XP_031818190.1	Fox	Fox-O6
Opri	XP_004591579.1	Fox	Fox-O6
Mjav	XP_036858263.1	Fox	Fox-O6
Lcat	XP_045404045.1	Fox	Fox-O6
Drot	XP_053776876.1	Fox	Fox-O6
Equa	XP_046516690.1	Fox	Fox-O6
Cdid	XP_037673411.1	Fox	Fox-O6
Oana	XP_028918467.1	Fox	Fox-H1
Mjav	XP_017499188.2	Fox	Fox-H1
Scar	XP_053599327.1	Fox	Fox-H1
Cpor	XP_003463743.1	Fox	Fox-H1
Bmus	XP_036686706.1	Fox	Fox-H1
Mjav	XP_036859882.1	Fox	Fox-H1
Shar	XP_031803442.1	Fox	Fox-H1
Emax	XP_049710232.1	Fox	Fox-H1
Dnov	XP_058132182.1	Fox	Fox-H1
Rfer	XP_032982232.1	Fox	Fox-H1
Tman	XP_004387459.1	Fox	Fox-H1
Opri	XP_004580951.4	Fox	Fox-H1
Cdid	XP_037659123.1	Fox	Fox-H1
Mang	XP_045751338.1	Fox	Fox-H1
Ttru	XP_033698705.1	Fox	Fox-H1
Ptig	XP_042829602.1	Fox	Fox-H1
Bbub	XP_006064665.1	Fox	Fox-H1
Mmus	NP_032015.1	Fox	Fox-H1
Clup	XP_038411781.1	Fox	Fox-H1
Cimi	XP_017367179.1	Fox	Fox-H1
Drot	XP_024428211.1	Fox	Fox-H1
Amel	XP_034524715.1	Fox	Fox-H1
Mang	XP_045751622.1	Fox	Fox-H1
Oafe	XP_007954253.1	Fox	Fox-H1
Hsap	NP_003914.1	Fox	Fox-H1
Csim	XP_004443058.1	Fox	Fox-H1
Cdro	XP_010997045.2	Fox	Fox-H1
Casi	XP_006830949.1	Fox	Fox-H1
Pafr	XP_047641595.1	Fox	Fox-H1
Equa	XP_046497693.1	Fox	Fox-H1
Pgig	XP_039702105.1	Fox	Fox-H1
Hamp	XP_057592839.1	Fox	Fox-H1
Mdom	XP_016288146.2	Fox	Fox-H1
Lcat	XP_045417128.1	Fox	Fox-H1
Ggal	XP_001234496.5	Fox	Fox-O3/Fox-O3B
Mdom	XP_001368493.2	Fox	Fox-O3/Fox-O3B
Bmus	XP_036727351.1	Fox	Fox-O3/Fox-O3B
Equa	XP_046532634.1	Fox	Fox-O3/Fox-O3B
Emax	XP_049752199.1	Fox	Fox-O3/Fox-O3B
Hsap	NP_001355064.1	Fox	Fox-O3/Fox-O3B
Shar	XP_023358910.2	Fox	Fox-O3/Fox-O3B
Pgig	XP_039725886.1	Fox	Fox-O3/Fox-O3B
Cdid	XP_037698233.1	Fox	Fox-O3/Fox-O3B
Cimi	XP_037599874.1	Fox	Fox-O3/Fox-O3B
Bbub	XP_044780301.2	Fox	Fox-O3/Fox-O3B
Opri	XP_058515970.1	Fox	Fox-O3/Fox-O3B
Pafr	XP_047618159.1	Fox	Fox-O3/Fox-O3B
Mmus	NP_062714.1	Fox	Fox-O3/Fox-O3B
Oafe	XP_007939014.1	Fox	Fox-O3/Fox-O3B
Clup	XP_038410808.1	Fox	Fox-O3/Fox-O3B
Dnov	XP_058163213.1	Fox	Fox-O3/Fox-O3B
Scar	XP_047415677.1	Fox	Fox-O3/Fox-O3B
Ptig	XP_042842859.1	Fox	Fox-O3/Fox-O3B
Mang	XP_045721230.1	Fox	Fox-O3/Fox-O3B
Casi	XP_006840010.1	Fox	Fox-O3/Fox-O3B
Mjav	XP_036868157.1	Fox	Fox-O3/Fox-O3B
Cpor	XP_023419223.1	Fox	Fox-O3/Fox-O3B
Hsap	NP_963853.1	Fox	Fox-O3/Fox-O3B
Drot	XP_024407555.2	Fox	Fox-O3/Fox-O3B
Lcat	XP_045400090.1	Fox	Fox-O3/Fox-O3B
Ttru	XP_033723495.1	Fox	Fox-O3/Fox-O3B
Oana	XP_001511165.3	Fox	Fox-O3/Fox-O3B
Csim	XP_014636634.1	Fox	Fox-O3/Fox-O3B
Cdro	XP_031311979.1	Fox	Fox-O3/Fox-O3B
Tman	XP_023583398.1	Fox	Fox-O3/Fox-O3B
Amel	XP_034524842.1	Fox	Fox-O3/Fox-O3B
Rfer	XP_032957487.1	Fox	Fox-O3/Fox-O3B
Hamp	XP_057593622.1	Fox	Fox-O3/Fox-O3B
Shar	XP_023352140.2	Fox	Fox-Q1
Mang	XP_045721917.1	Fox	Fox-Q1
Oana	XP_039766532.1	Fox	Fox-Q1
Mdom	XP_007488113.2	Fox	Fox-Q1
Oana	XP_039766897.1	Fox	Fox-Q1
Lcat	XP_045407521.1	Fox	Fox-Q1
Csim	XP_014639916.1	Fox	Fox-Q1
Rfer	XP_032969223.1	Fox	Fox-Q1
Emax	XP_049738363.1	Fox	Fox-Q1
Scar	XP_047414319.1	Fox	Fox-Q1
Drot	XP_024408099.2	Fox	Fox-Q1
Ggal	XP_015137671.3	Fox	Fox-Q1
Clup	XP_038440419.1	Fox	Fox-Q1
Bmus	XP_036726386.1	Fox	Fox-Q1
Hamp	XP_057556649.1	Fox	Fox-Q1
Ttru	XP_019800554.1	Fox	Fox-Q1
Cdid	XP_037700042.1	Fox	Fox-Q1
Cdro	XP_031291204.1	Fox	Fox-Q1
Equa	XP_046496965.1	Fox	Fox-Q1
Mjav	XP_036867494.1	Fox	Fox-Q1
Ptig	XP_042841203.1	Fox	Fox-Q1
Bbub	XP_025120519.3	Fox	Fox-Q1
Mmus	NP_032265.3	Fox	Fox-Q1
Cimi	XP_017352994.1	Fox	Fox-Q1
Opri	XP_058528571.1	Fox	Fox-Q1
Dnov	XP_058141147.1	Fox	Fox-Q1
Oafe	XP_007933584.1	Fox	Fox-Q1
Pgig	XP_039725409.1	Fox	Fox-Q1
Casi	XP_006870628.1	Fox	Fox-Q1
Pafr	XP_047651460.1	Fox	Fox-Q1
Hsap	NP_150285.3	Fox	Fox-Q1
Cimi	XP_037597639.1	Fox	Fox-G1
Lcat	XP_045411043.1	Fox	Fox-G1
Cdro	XP_010984479.2	Fox	Fox-G1
Rfer	XP_032965585.1	Fox	Fox-G1
Drot	XP_024407046.1	Fox	Fox-G1
Pafr	XP_047651592.1	Fox	Fox-G1
Oana	XP_039770060.1	Fox	Fox-G1
Pgig	XP_039726380.1	Fox	Fox-G1
Dnov	XP_058149613.1	Fox	Fox-G1
Mdom	XP_001364896.1	Fox	Fox-G1
Mang	XP_045757915.1	Fox	Fox-G1
Mjav	XP_017501197.2	Fox	Fox-G1
Emax	XP_049754324.1	Fox	Fox-G1
Ttru	XP_019779874.1	Fox	Fox-G1
Cdid	XP_037690644.1	Fox	Fox-G1
Hsap	NP_005240.3	Fox	Fox-G1
Shar	XP_031808132.1	Fox	Fox-G1
Ptig	XP_042845427.1	Fox	Fox-G1
Scar	XP_047396708.1	Fox	Fox-G1
Clup	XP_038400306.1	Fox	Fox-G1
Hamp	XP_057580105.1	Fox	Fox-G1
Casi	XP_006835434.1	Fox	Fox-G1
Opri	XP_058521348.1	Fox	Fox-G1
Bmus	XP_036700190.1	Fox	Fox-G1
Bbub	XP_025126917.1	Fox	Fox-G1
Mmus	NP_001153584.1	Fox	Fox-G1
Ggal	NP_989659.2	Fox	Fox-O1
Cimi	XP_017397972.1	Fox	Fox-O1
Rfer	XP_032960350.1	Fox	Fox-O1
Casi	XP_006873780.1	Fox	Fox-O1
Pgig	XP_039695386.1	Fox	Fox-O1
Dnov	XP_058132895.1	Fox	Fox-O1
Ttru	XP_019792245.1	Fox	Fox-O1
Oana	XP_001512968.3	Fox	Fox-O1
Hsap	NP_002006.2	Fox	Fox-O1
Mang	XP_045725787.1	Fox	Fox-O1
Bmus	XP_036687548.1	Fox	Fox-O1
Amel	XP_034519677.1	Fox	Fox-O1
Scar	XP_047409558.1	Fox	Fox-O1
Mmus	NP_062713.2	Fox	Fox-O1
Opri	XP_012782130.2	Fox	Fox-O1
Cdid	XP_037656524.1	Fox	Fox-O1
Mjav	XP_036867814.1	Fox	Fox-O1
Cdro	XP_031321792.1	Fox	Fox-O1
Lcat	XP_045423168.1	Fox	Fox-O1
Clup	XP_038429080.1	Fox	Fox-O1
Cpor	XP_023416198.1	Fox	Fox-O1
Drot	XP_024424320.2	Fox	Fox-O1
Mdom	XP_001368312.2	Fox	Fox-O1
Shar	XP_003764601.3	Fox	Fox-O1
Csim	XP_004443237.1	Fox	Fox-O1
Tman	XP_023597991.1	Fox	Fox-O1
Emax	XP_049709381.1	Fox	Fox-O1
Pafr	XP_047611907.1	Fox	Fox-O1
Bbub	XP_006065837.2	Fox	Fox-O1
Ptig	XP_007097795.2	Fox	Fox-O1
Hamp	XP_057563333.1	Fox	Fox-O1
Oafe	XP_007943433.1	Fox	Fox-O1
Mang	XP_045725786.1	Fox	Fox-O1
Ggal	XP_015134143.3	Fox	Fox-O4
Casi	XP_006868595.1	Fox	Fox-O4
Mdom	XP_056665439.1	Fox	Fox-O4
Csim	XP_004439923.1	Fox	Fox-O4
Cdid	XP_037677588.1	Fox	Fox-O4
Hsap	NP_005929.2	Fox	Fox-O4
Emax	XP_049727631.1	Fox	Fox-O4
Ptig	XP_007099158.2	Fox	Fox-O4
Drot	XP_053773393.1	Fox	Fox-O4
Bmus	XP_036696517.1	Fox	Fox-O4
Oafe	XP_007957073.1	Fox	Fox-O4
Cimi	XP_017372253.1	Fox	Fox-O4
Mjav	XP_017525885.1	Fox	Fox-O4
Rfer	XP_032969557.1	Fox	Fox-O4
Pafr	XP_047621021.1	Fox	Fox-O4
Mmus	NP_061259.1	Fox	Fox-O4
Mang	XP_045735285.1	Fox	Fox-O4
Pgig	XP_039697652.1	Fox	Fox-O4
Scar	XP_047393133.1	Fox	Fox-O4
Oana	XP_039768253.1	Fox	Fox-O4
Dnov	XP_058146903.1	Fox	Fox-O4
Cdid	XP_037678715.1	Fox	Fox-O4
Amel	XP_002929104.1	Fox	Fox-O4
Tman	XP_023590438.1	Fox	Fox-O4
Clup	XP_038443581.1	Fox	Fox-O4
Cpor	XP_013009181.1	Fox	Fox-O4
Lcat	XP_045394627.1	Fox	Fox-O4
Hamp	XP_057575075.1	Fox	Fox-O4
Bbub	XP_006076433.1	Fox	Fox-O4
Ttru	XP_033705152.1	Fox	Fox-O4
Equa	XP_046529856.1	Fox	Fox-O4
Opri	XP_004595290.1	Fox	Fox-O4
Drot	XP_053773548.1	Fox	Fox-O4
Cdro	XP_010977055.2	Fox	Fox-O4
Pgig	XP_039724773.1	Fox	Fox-J3
Mdom	XP_007492986.2	Fox	Fox-J3
Lcat	XP_045401678.1	Fox	Fox-J3
Shar	XP_031818195.1	Fox	Fox-J3
Equa	XP_046517148.1	Fox	Fox-J3
Mjav	XP_036858181.1	Fox	Fox-J3
Oafe	XP_007953745.1	Fox	Fox-J3
Mmus	NP_766287.1	Fox	Fox-J3
Drot	XP_024410422.2	Fox	Fox-J3
Tman	XP_023582916.1	Fox	Fox-J3
Dnov	XP_004477472.1	Fox	Fox-J3
Hsap	XP_005270689.1	Fox	Fox-J3
Csim	XP_004443185.1	Fox	Fox-J3
Scar	XP_047408133.1	Fox	Fox-J3
Cimi	XP_017397267.1	Fox	Fox-J3
Bmus	XP_036706277.1	Fox	Fox-J3
Cdid	XP_037683454.1	Fox	Fox-J3
Cpor	XP_004999975.1	Fox	Fox-J3
Oana	XP_028921226.1	Fox	Fox-J3
Bbub	XP_044801100.1	Fox	Fox-J3
Ttru	XP_019793563.1	Fox	Fox-J3
Casi	XP_006839889.1	Fox	Fox-J3
Clup	XP_038413618.1	Fox	Fox-J3
Emax	XP_049734920.1	Fox	Fox-J3
Pafr	XP_047645481.1	Fox	Fox-J3
Mang	XP_054368911.1	Fox	Fox-J3
Opri	XP_058535693.1	Fox	Fox-J3
Amel	XP_011233273.1	Fox	Fox-J3
Hamp	XP_057563297.1	Fox	Fox-J3
Ptig	XP_042852753.1	Fox	Fox-J3
Cdro	XP_031320784.1	Fox	Fox-J3
Oana	XP_028910333.1	Fox	Fox-J2
Hamp	XP_057559090.1	Fox	Fox-J2
Pafr	XP_047643563.1	Fox	Fox-J2
