Species_ID	Gene_ID	Group	Annotation
Dkik	XP_017026689.1	Fox	Jumeau
Dana	XP_001952947.1	Fox	Jumeau
Dmir	XP_033244970.1	Fox	Jumeau
Dere	XP_001980679.1	Fox	Jumeau
Dele	XP_017119152.1	Fox	Jumeau
Dsuz	XP_016944421.1	Fox	Jumeau
Dhyd	XP_023174343.2	Fox	Jumeau
Dwil	XP_023034158.2	Fox	Jumeau
Dpse	XP_033233400.1	Fox	Jumeau
Dpse	XP_015038643.2	Fox	Jumeau
Dmir	XP_033244969.1	Fox	Jumeau
Dmel	NP_524302.1	Fox	Jumeau
Dbip	XP_017100743.2	Fox	Jumeau
Dbus	XP_017845708.1	Fox	Jumeau
Dbip	XP_043069566.1	Fox	Hcm-1
Dsec	XP_002044492.1	Fox	Hcm-1
Dere	XP_026838997.1	Fox	Hcm-1
Dhyd	XP_023165574.2	Fox	Hcm-1
Dele	XP_041564577.1	Fox	Hcm-1
Dsuz	XP_036678464.1	Fox	Hcm-1
Dalb	XP_051862243.1	Fox	Hcm-1
Dana	XP_032311767.1	Fox	Hcm-1
Dpse	XP_033237266.1	Fox	Hcm-1
Dmel	NP_726538.1	Fox	Hcm-1
Dmir	XP_017155587.1	Fox	Hcm-1
Dser	XP_020809944.1	Fox	Hcm-1
Dbus	XP_017853536.1	Fox	Hcm-1
Dwil	XP_023035694.1	Fox	Hcm-1
Dkik	XP_017037372.1	Fox	Hcm-1
Dwil	XP_002072563.1	Fox	Fd-102C
Dhyd	XP_023163080.1	Fox	Fd-102C
Dbip	XP_017098296.2	Fox	Fd-102C
Dmel	NP_651951.1	Fox	Fd-102C
Dsuz	XP_036671526.1	Fox	Fd-102C
Dele	XP_017126055.1	Fox	Fd-102C
Dbus	XP_017853523.1	Fox	Fd-102C
Dsec	XP_002043702.1	Fox	Fd-102C
Agam	XP_061505343.1	Fox	Fd-102C
Dere	XP_001982706.1	Fox	Fd-102C
Dmir	XP_017155765.1	Fox	Fd-102C
Dana	XP_032308054.1	Fox	Fd-102C
Dalb	XP_034112224.1	Fox	Fd-102C
Dpse	XP_015044407.1	Fox	Fd-102C
Dkik	XP_041632589.1	Fox	Fd-102C
Dgri	XP_043071810.1	Fox	Fd-102C
Dser	XP_020809941.1	Fox	Fd-102C
Dari	XP_017869379.1	Fox	Fd-102C
Agam	XP_061502996.1	Fox	Fox-P
Dhyd	XP_023172914.1	Fox	Fox-P
Dbus	XP_033148941.1	Fox	Fox-P
Dbip	XP_043067838.1	Fox	Fox-P
Dgri	XP_032593352.2	Fox	Fox-P
Dana	XP_044571198.1	Fox	Fox-P
Dalb	XP_051862673.1	Fox	Fox-P
Dmir	XP_033244694.1	Fox	Fox-P
Dmel	NP_001247011.1	Fox	Fox-P
Dere	XP_015009985.2	Fox	Fox-P
Dele	XP_017117570.1	Fox	Fox-P
Dsuz	XP_016930987.1	Fox	Fox-P
Dpse	XP_033241607.1	Fox	Fox-P
Dwil	XP_046865977.1	Fox	Fox-P
Dsec	XP_032577368.1	Fox	Fox-P
Dser	XP_020813734.1	Fox	Fox-P
Dwil	XP_002072142.2	Fox	fox-O
Agam	XP_061497073.1	Fox	fox-O
Dari	XP_017859446.1	Fox	fox-O
Dsuz	XP_036674215.1	Fox	fox-O
Dsuz	XP_036672729.1	Fox	fox-O
Dgri	XP_032595778.1	Fox	fox-O
Dbip	XP_017091959.2	Fox	fox-O
Dmir	XP_017143568.1	Fox	fox-O
Dalb	XP_034113157.1	Fox	fox-O
Dsec	XP_032576567.1	Fox	fox-O
Dhyd	XP_023171342.1	Fox	fox-O
Dbus	XP_033149836.1	Fox	fox-O
Dere	XP_026839669.1	Fox	fox-O
Dkik	XP_017026758.1	Fox	fox-O
Dser	XP_020817293.1	Fox	fox-O
Dpse	XP_033236382.1	Fox	fox-O
Dele	XP_041565035.1	Fox	fox-O
Dana	XP_032311428.1	Fox	fox-O
Dmel	NP_650330.3	Fox	fox-O
Agam	XP_001688749.2	Fox	Biniou
Dmel	NP_523950.2	Fox	Biniou
Dalb	XP_034105454.1	Fox	Biniou
Dser	XP_020817612.1	Fox	Biniou
Dele	XP_017121425.1	Fox	Biniou
Dkik	XP_017017381.1	Fox	Biniou
Dana	XP_001958356.2	Fox	Biniou
Dari	XP_017864430.1	Fox	Biniou
Dbus	XP_017841230.1	Fox	Biniou
Dwil	XP_002061803.1	Fox	Biniou
Dgri	XP_001983803.1	Fox	Biniou
Dere	XP_001971514.2	Fox	Biniou
Dsuz	XP_036672243.1	Fox	Biniou
Dpse	XP_002134730.3	Fox	Biniou
Dhyd	XP_030081482.1	Fox	Biniou
Dbip	XP_017095285.2	Fox	Biniou
Dmir	XP_017139097.1	Fox	Biniou
Dsec	XP_002035641.1	Fox	Biniou
Agam	XP_061503012.1	Fox	Fd-2/Fox-L1
Dmel	NP_001246609.1	Fox	Fd-2/Fox-L1
Dhyd	XP_023178350.2	Fox	Fd-2/Fox-L1
Dbus	XP_017840363.1	Fox	Fd-2/Fox-L1
Dkik	XP_017019394.1	Fox	Fd-2/Fox-L1
Dser	XP_020807718.1	Fox	Fd-2/Fox-L1
Dari	XP_017863042.1	Fox	Fd-2/Fox-L1
Dsec	XP_002035260.1	Fox	Fd-2/Fox-L1
Dere	XP_001971815.2	Fox	Fd-2/Fox-L1
Dalb	XP_051860220.1	Fox	Fd-2/Fox-L1
Dana	XP_001956070.1	Fox	Fd-2/Fox-L1
Dsuz	XP_016932589.2	Fox	Fd-2/Fox-L1
Dele	XP_017126783.1	Fox	Fd-2/Fox-L1
Dgri	XP_001983216.1	Fox	Fd-2/Fox-L1
Dpse	XP_001352427.1	Fox	Fd-2/Fox-L1
Dwil	XP_002062380.1	Fox	Fd-2/Fox-L1
Dbip	XP_017098174.2	Fox	Fd-2/Fox-L1
Dmir	XP_017137846.1	Fox	Fd-2/Fox-L1
Dere	XP_001977848.1	Fox	Fd-19B
Dhyd	XP_030079337.1	Fox	Fd-19B
Dmel	NP_608369.1	Fox	Fd-19B
Dsec	XP_002039497.1	Fox	Fd-19B
Dsuz	XP_016923819.2	Fox	Fd-19B
Dele	XP_041565246.1	Fox	Fd-19B
Dpse	XP_033239022.1	Fox	Fd-19B
Dmir	XP_017134931.2	Fox	Fd-19B
Dari	XP_017869476.1	Fox	Fd-19B
Dgri	XP_043072169.1	Fox	Fd-19B
Dalb	XP_034101064.2	Fox	Fd-19B
Dwil	XP_046867097.1	Fox	Fd-19B
Dser	XP_020808848.1	Fox	Fd-19B
Dkik	XP_017017955.1	Fox	Fd-19B
Dbus	XP_033150229.1	Fox	Fd-19B
Agam	XP_061512060.1	Fox	N/A
Dalb	XP_034098689.1	Fox	N/A
Dgri	XP_032595015.1	Fox	N/A
Dalb	XP_034098925.1	Fox	Slp-1
Dele	XP_017110574.1	Fox	Slp-1
Dbus	XP_017845192.1	Fox	Slp-1
Dgri	XP_001988485.1	Fox	Slp-1
Dhyd	XP_023179855.2	Fox	Slp-1
Dari	XP_017860496.1	Fox	Slp-1
Dana	XP_001961572.2	Fox	Slp-1
Dmir	XP_017155124.1	Fox	Slp-1
Dbip	XP_017105354.1	Fox	Slp-1
Dmel	NP_476730.1	Fox	Slp-1
Dere	XP_001968625.1	Fox	Slp-1
Dsec	XP_002037770.1	Fox	Slp-1
Dkik	XP_017021730.1	Fox	Slp-1
Dpse	XP_001356670.4	Fox	Slp-1
Dwil	XP_002065500.1	Fox	Slp-1
Dser	XP_020800881.1	Fox	Slp-1
Dsuz	XP_016927184.1	Fox	Slp-1
Agam	XP_061514780.1	Fox	Slp-2
Dalb	XP_034100740.1	Fox	Slp-2
Dele	XP_017110569.1	Fox	Slp-2
Dere	XP_001968626.1	Fox	Slp-2
Dbus	XP_017845289.1	Fox	Slp-2
Dsec	XP_002037771.1	Fox	Slp-2
Dpse	XP_001356669.3	Fox	Slp-2
Dmir	XP_017151517.1	Fox	Slp-2
Dkik	XP_017021724.1	Fox	Slp-2
Dana	XP_001961573.1	Fox	Slp-2
Dari	XP_017860500.1	Fox	Slp-2
Dser	XP_020800889.1	Fox	Slp-2
Dbip	XP_017105682.2	Fox	Slp-2
Dhyd	XP_023179875.2	Fox	Slp-2
Dsuz	XP_016926388.1	Fox	Slp-2
Dwil	XP_023031666.1	Fox	Slp-2
Dgri	XP_001988487.3	Fox	Slp-2
Dmel	NP_476834.1	Fox	Slp-2
Agam	XP_317309.5	Fox	Fd-3/Fd-59A
Dbip	XP_017090886.2	Fox	Fd-3/Fd-59A
Dpse	XP_001361889.1	Fox	Fd-3/Fd-59A
Dmel	NP_523814.1	Fox	Fd-3/Fd-59A
Dsuz	XP_016927872.1	Fox	Fd-3/Fd-59A
Dele	XP_017132051.1	Fox	Fd-3/Fd-59A
Dser	XP_020803123.1	Fox	Fd-3/Fd-59A
Dwil	XP_002061322.3	Fox	Fd-3/Fd-59A
Dgri	XP_001987215.1	Fox	Fd-3/Fd-59A
Dana	XP_001960803.1	Fox	Fd-3/Fd-59A
Dmir	XP_033248262.1	Fox	Fd-3/Fd-59A
Dalb	XP_034105309.1	Fox	Fd-3/Fd-59A
Dhyd	XP_030081270.1	Fox	Fd-3/Fd-59A
Dmir	XP_017150782.2	Fox	Fd-3/Fd-59A
Dkik	XP_017024427.1	Fox	Fd-3/Fd-59A
Dari	XP_017865679.1	Fox	Fd-3/Fd-59A
Dsec	XP_002039987.1	Fox	Fd-3/Fd-59A
Dere	XP_001976310.1	Fox	Fd-3/Fd-59A
Dbus	XP_017836437.1	Fox	Fd-3/Fd-59A
Agam	XP_315933.4	Fox	Crocodile
Dalb	XP_034109751.1	Fox	Crocodile
Dele	XP_017121437.1	Fox	Crocodile
Dmel	NP_524202.1	Fox	Crocodile
Dsec	XP_002040809.1	Fox	Crocodile
Dsuz	XP_016933536.1	Fox	Crocodile
Dari	XP_017864431.1	Fox	Crocodile
Dmir	XP_017139058.1	Fox	Crocodile
Dhyd	XP_023173236.2	Fox	Crocodile
Dbip	XP_017095284.1	Fox	Crocodile
Dwil	XP_002061802.1	Fox	Crocodile
Dser	XP_020817581.1	Fox	Crocodile
Dbus	XP_017841359.1	Fox	Crocodile
Dpse	XP_001354188.2	Fox	Crocodile
Dkik	XP_017029613.1	Fox	Crocodile
Dana	XP_001958355.1	Fox	Crocodile
Dgri	XP_001983802.1	Fox	Crocodile
Dere	XP_001973629.1	Fox	Crocodile
Dmir	XP_017144084.1	Fox	Fkh
Dari	XP_017873677.1	Fox	Fkh
Dpse	XP_033238940.1	Fox	Fkh
Dwil	XP_002070503.2	Fox	Fkh
Dsuz	XP_036673542.1	Fox	Fkh
Dalb	XP_051862733.1	Fox	Fkh
Dbip	XP_017092849.2	Fox	Fkh
Dbus	XP_017849701.2	Fox	Fkh
Dsec	XP_002043027.2	Fox	Fkh
Dgri	XP_001989593.3	Fox	Fkh
Dana	XP_001955055.2	Fox	Fkh
Dkik	XP_017037933.1	Fox	Fkh
Dser	XP_020811220.1	Fox	Fkh
Dere	XP_001981453.3	Fox	Fkh
Agam	XP_061497286.1	Fox	Fkh
Dmel	NP_001263038.1	Fox	Fkh
Dele	XP_017131720.1	Fox	Fkh
Dhyd	XP_023165610.2	Fox	Fkh
Dalb	XP_034114947.1	Fox	Fd-5/Fd-96Cb
Dele	XP_017123797.1	Fox	Fd-5/Fd-96Cb
Dgri	XP_001990839.1	Fox	Fd-5/Fd-96Cb
Dana	XP_001953691.1	Fox	Fd-5/Fd-96Cb
Dere	XP_001981873.2	Fox	Fd-5/Fd-96Cb
Dkik	XP_017020777.1	Fox	Fd-5/Fd-96Cb
Dwil	XP_023036287.1	Fox	Fd-5/Fd-96Cb
Dbip	XP_017103917.2	Fox	Fd-5/Fd-96Cb
Dser	XP_020817575.1	Fox	Fd-5/Fd-96Cb
Dsec	XP_002043869.2	Fox	Fd-5/Fd-96Cb
Dsuz	XP_016923664.2	Fox	Fd-5/Fd-96Cb
Dmel	NP_524496.1	Fox	Fd-5/Fd-96Cb
Agam	XP_061497721.1	Fox	Fd-4/Fd-96Ca
Dana	XP_001953690.1	Fox	Fd-4/Fd-96Ca
Dmel	NP_001287516.1	Fox	Fd-4/Fd-96Ca
Dsuz	XP_016923665.2	Fox	Fd-4/Fd-96Ca
Dpse	XP_033232491.1	Fox	Fd-4/Fd-96Ca
Dser	XP_020817686.1	Fox	Fd-4/Fd-96Ca
Dele	XP_017123798.1	Fox	Fd-4/Fd-96Ca
Dkik	XP_017020776.1	Fox	Fd-4/Fd-96Ca
Dwil	XP_002072971.1	Fox	Fd-4/Fd-96Ca
Dalb	XP_034114767.1	Fox	Fd-4/Fd-96Ca
Dgri	XP_001990840.1	Fox	Fd-4/Fd-96Ca
Dbus	XP_017846227.1	Fox	Fd-4/Fd-96Ca
Dbip	XP_017103916.2	Fox	Fd-4/Fd-96Ca
Dhyd	XP_023172915.1	Fox	Fd-4/Fd-96Ca
Dari	XP_017856594.1	Fox	Fd-4/Fd-96Ca
Dsec	XP_002043867.1	Fox	Fd-4/Fd-96Ca
Dere	XP_001981874.1	Fox	Fd-4/Fd-96Ca
Dmir	XP_017141748.1	Fox	Fd-4/Fd-96Ca
Agam	XP_061507474.1	Fox	N/A
Agam	XP_061497423.1	Fox	N/A
Agam	XP_312480.5	Fox	N/A
Dana	XP_044571024.1	Sox	Sox-21B
Dari	XP_017862175.1	Sox	Sox-21B
Dhyd	XP_030080409.1	Sox	Sox-21B
Dbus	XP_033149417.1	Sox	Sox-21B
Dere	XP_001972712.1	Sox	Sox-21B
Dmir	XP_033243279.1	Sox	Sox-21B
Dmel	NP_001261829.1	Sox	Sox-21B
Dele	XP_017128640.1	Sox	Sox-21B
Dpse	XP_002134931.3	Sox	Sox-21B
Dwil	XP_023034010.1	Sox	Sox-21B
Dsec	XP_002030465.1	Sox	Sox-21B
Dalb	XP_034107607.1	Sox	Sox-21B
Dbip	XP_017090122.2	Sox	Sox-21B
Agam	XP_061509694.1	Sox	Sox-21B
Dkik	XP_017034105.1	Sox	Sox-21B
Dgri	XP_032598957.1	Sox	Sox-21B
Dser	XP_020816310.1	Sox	Sox-21B
Dgri	XP_032590737.1	Sox	Sox-14
Dhyd	XP_023171730.2	Sox	Sox-14
Dbus	XP_017836915.1	Sox	Sox-14
Dpse	XP_001360869.4	Sox	Sox-14
Dkik	XP_017018688.1	Sox	Sox-14
Dbip	XP_017090231.2	Sox	Sox-14
Dser	XP_020817997.1	Sox	Sox-14
Dmir	XP_033246935.1	Sox	Sox-14
Dsec	XP_002040195.2	Sox	Sox-14
Dmel	NP_001286801.1	Sox	Sox-14
Dmir	XP_017149652.2	Sox	Sox-14
Dsuz	XP_016926392.1	Sox	Sox-14
Dari	XP_017868666.1	Sox	Sox-14
Dalb	XP_034106594.1	Sox	Sox-14
Dere	XP_001976516.1	Sox	Sox-14
Dwil	XP_002061086.2	Sox	Sox-14
Agam	XP_061506760.1	Sox	Sox-14
Dele	XP_017125359.1	Sox	Sox-14
Dana	XP_001959457.2	Sox	Sox-14
Dpse	XP_001353547.1	Sox	Dichaete
Dele	XP_017128756.1	Sox	Dichaete
Dmir	XP_017138810.1	Sox	Dichaete
Dalb	XP_034104310.1	Sox	Dichaete
Dsec	XP_002030467.1	Sox	Dichaete
Dgri	XP_001984254.1	Sox	Dichaete
Dana	XP_001956432.1	Sox	Dichaete
Dmel	NP_524066.1	Sox	Dichaete
Dere	XP_001972713.1	Sox	Dichaete
Dbip	XP_017089891.1	Sox	Dichaete
Agam	XP_061514536.1	Sox	Dichaete
Dbus	XP_017841081.1	Sox	Dichaete
Dkik	XP_017034102.1	Sox	Dichaete
Dwil	XP_002061712.1	Sox	Dichaete
Dari	XP_017864416.1	Sox	Dichaete
Dhyd	XP_023173062.1	Sox	Dichaete
Dser	XP_020815889.1	Sox	Dichaete
Dsuz	XP_016933433.1	Sox	Dichaete
Dere	XP_001975666.1	Sox	Sox-15
Dele	XP_017133202.1	Sox	Sox-15
Dbus	XP_017835743.2	Sox	Sox-15
Dwil	XP_023030517.1	Sox	Sox-15
Dalb	XP_051860622.1	Sox	Sox-15
Dana	XP_001959479.1	Sox	Sox-15
Dbip	XP_017090318.2	Sox	Sox-15
Dari	XP_017867550.1	Sox	Sox-15
Dmir	XP_017149731.1	Sox	Sox-15
Dsec	XP_002033808.1	Sox	Sox-15
Agam	XP_061509362.1	Sox	Sox-15
Dmel	NP_523739.2	Sox	Sox-15
Dser	XP_020802427.1	Sox	Sox-15
Dhyd	XP_030081376.1	Sox	Sox-15
Dsuz	XP_016927906.1	Sox	Sox-15
Dpse	XP_001361762.2	Sox	Sox-15
Dkik	XP_017019703.1	Sox	Sox-15
Dgri	XP_001987303.1	Sox	Sox-15
Dsec	XP_002030464.1	Sox	Sox-21A
Dgri	XP_001984256.1	Sox	Sox-21A
Dsuz	XP_016934639.1	Sox	Sox-21A
Dmir	XP_017138458.1	Sox	Sox-21A
Dkik	XP_017034345.1	Sox	Sox-21A
Dbus	XP_017840298.2	Sox	Sox-21A
Dari	XP_017862178.1	Sox	Sox-21A
Dalb	XP_034108985.1	Sox	Sox-21A
Dser	XP_020816311.1	Sox	Sox-21A
Agam	XP_061513404.1	Sox	Sox-21A
Dele	XP_017128154.1	Sox	Sox-21A
Dana	XP_032310341.1	Sox	Sox-21A
Dhyd	XP_023173058.2	Sox	Sox-21A
Dere	XP_001972711.1	Sox	Sox-21A
Dbip	XP_043070009.1	Sox	Sox-21A
Dwil	XP_023033998.1	Sox	Sox-21A
Dmel	NP_001261827.1	Sox	Sox-21A
Dpse	XP_033239763.1	Sox	Sox-21A
Dwil	XP_002066518.2	Sox	Sox-N
Dser	XP_020807900.1	Sox	Sox-N
Dsuz	XP_036678170.1	Sox	Sox-N
Dbus	XP_033150665.1	Sox	Sox-N
Dsec	XP_002036270.2	Sox	Sox-N
Dgri	XP_001993541.2	Sox	Sox-N
Dele	XP_017121213.1	Sox	Sox-N
Dari	XP_017860249.1	Sox	Sox-N
Dalb	XP_051858933.1	Sox	Sox-N
Dkik	XP_017024634.1	Sox	Sox-N
Agam	XP_061516479.1	Sox	Sox-N
Dmir	XP_017154597.1	Sox	Sox-N
Dbip	XP_017099296.2	Sox	Sox-N
Dere	XP_026834908.1	Sox	Sox-N
Dmel	NP_001260269.1	Sox	Sox-N
Dhyd	XP_023172210.2	Sox	Sox-N
Dpse	XP_001355808.4	Sox	Sox-N
Dana	XP_001962613.2	Sox	Sox-N
Dbus	XP_017845374.1	Sox	Sox-100B
Dari	XP_017874440.1	Sox	Sox-100B
Agam	XP_061509035.1	Sox	Sox-100B
Dhyd	XP_023168522.1	Sox	Sox-100B
Dkik	XP_017037366.1	Sox	Sox-100B
Dana	XP_001954720.1	Sox	Sox-100B
Dele	XP_017122478.1	Sox	Sox-100B
Dser	XP_020811779.1	Sox	Sox-100B
Dbip	XP_017088796.2	Sox	Sox-100B
Dmir	XP_017145320.1	Sox	Sox-100B
Dalb	XP_051863654.1	Sox	Sox-100B
Dmel	NP_651839.1	Sox	Sox-100B
Dsec	XP_002037434.1	Sox	Sox-100B
Dere	XP_001981122.1	Sox	Sox-100B
Dsuz	XP_016935593.2	Sox	Sox-100B
Dwil	XP_023035523.1	Sox	Sox-100B
Dgri	XP_032597554.1	Sox	Sox-100B
Dpse	XP_001357577.3	Sox	Sox-100B
