Dataset	Group_of_genes	GO.ID	Term	Annotated	Significant	Expected	classicFisher
Bivalvia	Group_1_+_Group_2	GO:0016477	cell_migration	29	4	1.26	0.03480
Bivalvia	Group_1_+_Group_2	GO:0032101	regulation_of_response_to_external_stimulus	30	4	1.3	0.03883
Bivalvia	Group_1_+_Group_2	GO:0050769	positive_regulation_of_neurogenesis	5	3	0.22	0.00075
Bivalvia	Group_1_+_Group_2	GO:0007368	determination_of_left/right_symmetry	7	3	0.3	0.00247
Bivalvia	Group_1_+_Group_2	GO:0001819	positive_regulation_of_cytokine_production	7	3	0.3	0.00247
Bivalvia	Group_1_+_Group_2	GO:0070192	chromosome_organization_involved_in_meiotic_cell_cycle	7	3	0.3	0.00247
Bivalvia	Group_1_+_Group_2	GO:0045132	meiotic_chromosome_segregation	8	3	0.35	0.00382
Bivalvia	Group_1_+_Group_2	GO:0042326	negative_regulation_of_phosphorylation	10	3	0.43	0.00768
Bivalvia	Group_1_+_Group_2	GO:0008285	negative_regulation_of_cell_population_proliferation	10	3	0.43	0.00768
Bivalvia	Group_1_+_Group_2	GO:0022604	regulation_of_cell_morphogenesis	10	3	0.43	0.00768
Bivalvia	Group_1_+_Group_2	GO:0001894	tissue_homeostasis	10	3	0.43	0.00768
Bivalvia	Group_1_+_Group_2	GO:0003007	heart_morphogenesis	10	3	0.43	0.00768
Bivalvia	Group_1_+_Group_2	GO:0051093	negative_regulation_of_developmental_process	11	3	0.48	0.01022
Bivalvia	Group_1_+_Group_2	GO:0001501	skeletal_system_development	11	3	0.48	0.01022
Bivalvia	Group_1_+_Group_2	GO:0042327	positive_regulation_of_phosphorylation	12	3	0.52	0.01320
Bivalvia	Group_1_+_Group_2	GO:0010562	positive_regulation_of_phosphorus_metabolic_process	13	3	0.56	0.01662
Bivalvia	Group_1_+_Group_2	GO:0045010	actin_nucleation	13	3	0.56	0.01662
Bivalvia	Group_1_+_Group_2	GO:0045937	positive_regulation_of_phosphate_metabolic_process	13	3	0.56	0.01662
Bivalvia	Group_1_+_Group_2	GO:0007127	meiosis_I	14	3	0.61	0.02049
Bivalvia	Group_1_+_Group_2	GO:0031400	negative_regulation_of_protein_modification_process	14	3	0.61	0.02049
Bivalvia	Group_1_+_Group_2	GO:0061982	meiosis_I_cell_cycle_process	14	3	0.61	0.02049
Bivalvia	Group_1_+_Group_2	GO:0097190	apoptotic_signaling_pathway	16	3	0.69	0.02958
Bivalvia	Group_1_+_Group_2	GO:0040008	regulation_of_growth	16	3	0.69	0.02958
Bivalvia	Group_1_+_Group_2	GO:0051345	positive_regulation_of_hydrolase_activity	17	3	0.74	0.03479
Bivalvia	Group_1_+_Group_2	GO:0010257	NADH_dehydrogenase_complex_assembly	17	3	0.74	0.03479
Bivalvia	Group_1_+_Group_2	GO:0032981	mitochondrial_respiratory_chain_complex_I_assembly	17	3	0.74	0.03479
Bivalvia	Group_1_+_Group_2	GO:0032880	regulation_of_protein_localization	18	3	0.78	0.04045
Bivalvia	Group_1_+_Group_2	GO:0005976	polysaccharide_metabolic_process	18	3	0.78	0.04045
Bivalvia	Group_1_+_Group_2	GO:0048729	tissue_morphogenesis	19	3	0.82	0.04655
Bivalvia	Group_1_+_Group_2	GO:0018022	peptidyl-lysine_methylation	19	3	0.82	0.04655
Bivalvia	Group_1_+_Group_2	GO:0000041	transition_metal_ion_transport	19	3	0.82	0.04655
Bivalvia	Group_1_+_Group_2	GO:0032488	Cdc42_protein_signal_transduction	2	2	0.09	0.00187
Bivalvia	Group_1_+_Group_2	GO:0022600	digestive_system_process	2	2	0.09	0.00187
Bivalvia	Group_1_+_Group_2	GO:0007097	nuclear_migration	2	2	0.09	0.00187
Bivalvia	Group_1_+_Group_2	GO:0032232	negative_regulation_of_actin_filament_bundle_assembly	2	2	0.09	0.00187
Bivalvia	Group_1_+_Group_2	GO:1905168	positive_regulation_of_double-strand_break_repair_via_homologous_recombination	2	2	0.09	0.00187
Bivalvia	Group_1_+_Group_2	GO:0002064	epithelial_cell_development	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0061383	trabecula_morphogenesis	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0010830	regulation_of_myotube_differentiation	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0010833	telomere_maintenance_via_telomere_lengthening	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0000959	mitochondrial_RNA_metabolic_process	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0033617	mitochondrial_cytochrome_c_oxidase_assembly	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:2000179	positive_regulation_of_neural_precursor_cell_proliferation	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0050777	negative_regulation_of_immune_response	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0007095	mitotic_G2_DNA_damage_checkpoint_signaling	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:2000736	regulation_of_stem_cell_differentiation	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0016233	telomere_capping	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0045910	negative_regulation_of_DNA_recombination	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0051701	biological_process_involved_in_interaction_with_host	3	2	0.13	0.00544
Bivalvia	Group_1_+_Group_2	GO:0046677	response_to_antibiotic	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0046620	regulation_of_organ_growth	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0030514	negative_regulation_of_BMP_signaling_pathway	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:1901678	iron_coordination_entity_transport	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0007519	skeletal_muscle_tissue_development	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0032507	maintenance_of_protein_location_in_cell	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0007416	synapse_assembly	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0098781	ncRNA_transcription	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0035023	regulation_of_Rho_protein_signal_transduction	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0003190	atrioventricular_valve_formation	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0003181	atrioventricular_valve_morphogenesis	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0090101	negative_regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0010001	glial_cell_differentiation	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0090288	negative_regulation_of_cellular_response_to_growth_factor_stimulus	4	2	0.17	0.01058
Bivalvia	Group_1_+_Group_2	GO:0030510	regulation_of_BMP_signaling_pathway	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0061371	determination_of_heart_left/right_asymmetry	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0042063	gliogenesis	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0007162	negative_regulation_of_cell_adhesion	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0042026	protein_refolding	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0007129	homologous_chromosome_pairing_at_meiosis	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0001947	heart_looping	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0035050	embryonic_heart_tube_development	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0035265	organ_growth	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0030968	endoplasmic_reticulum_unfolded_protein_response	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0003188	heart_valve_formation	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0003171	atrioventricular_valve_development	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0003179	heart_valve_morphogenesis	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0003143	embryonic_heart_tube_morphogenesis	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0090287	regulation_of_cellular_response_to_growth_factor_stimulus	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0060538	skeletal_muscle_organ_development	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0034620	cellular_response_to_unfolded_protein	5	2	0.22	0.01712
Bivalvia	Group_1_+_Group_2	GO:0030509	BMP_signaling_pathway	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0006360	transcription_by_RNA_polymerase_I	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0045185	maintenance_of_protein_location	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0045143	homologous_chromosome_segregation	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0001889	liver_development	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0071772	response_to_BMP	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0071773	cellular_response_to_BMP_stimulus	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0090092	regulation_of_transmembrane_receptor_protein_serine/threonine_kinase_signaling_pathway	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0003170	heart_valve_development	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0003012	muscle_system_process	6	2	0.26	0.02496
Bivalvia	Group_1_+_Group_2	GO:0030490	maturation_of_SSU-rRNA	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0018105	peptidyl-serine_phosphorylation	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0032465	regulation_of_cytokinesis	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0061448	connective_tissue_development	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0018209	peptidyl-serine_modification	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0032102	negative_regulation_of_response_to_external_stimulus	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0061008	hepaticobiliary_system_development	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0048638	regulation_of_developmental_growth	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0010212	response_to_ionizing_radiation	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:0034329	cell_junction_assembly	7	2	0.3	0.03395
Bivalvia	Group_1_+_Group_2	GO:1901652	response_to_peptide	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0048732	gland_development	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0033157	regulation_of_intracellular_protein_transport	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0051302	regulation_of_cell_division	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0001822	kidney_development	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0050808	synapse_organization	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0035967	cellular_response_to_topologically_incorrect_protein	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0031032	actomyosin_structure_organization	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0001503	ossification	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0000271	polysaccharide_biosynthetic_process	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0008593	regulation_of_Notch_signaling_pathway	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0045596	negative_regulation_of_cell_differentiation	8	2	0.35	0.04400
Bivalvia	Group_1_+_Group_2	GO:0050691	regulation_of_defense_response_to_virus_by_host	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1900220	semaphorin-plexin_signaling_pathway_involved_in_bone_trabecula_morphogenesis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0046621	negative_regulation_of_organ_growth	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048799	animal_organ_maturation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0046402	O_antigen_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0052572	response_to_host_immune_response	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0015743	malate_transport	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0043628	regulatory_ncRNA_3'-end_processing	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1904862	inhibitory_synapse_assembly	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0000963	mitochondrial_RNA_processing	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0002230	positive_regulation_of_defense_response_to_virus_by_host	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048742	regulation_of_skeletal_muscle_fiber_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048743	positive_regulation_of_skeletal_muscle_fiber_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1902041	regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0075136	response_to_host	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1902285	semaphorin-plexin_signaling_pathway_involved_in_neuron_projection_guidance	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0033687	osteoblast_proliferation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1902287	semaphorin-plexin_signaling_pathway_involved_in_axon_guidance	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0033688	regulation_of_osteoblast_proliferation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0033689	negative_regulation_of_osteoblast_proliferation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0070212	protein_poly-ADP-ribosylation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0070213	protein_auto-ADP-ribosylation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0071423	malate_transmembrane_transport	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0008653	lipopolysaccharide_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0030653	beta-lactam_antibiotic_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0030655	beta-lactam_antibiotic_catabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0001100	negative_regulation_of_exit_from_mitosis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0008625	extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0043144	sno(s)RNA_processing	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0031848	protection_from_non-homologous_end_joining_at_telomere	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0010526	retrotransposon_silencing	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0061668	mitochondrial_ribosome_assembly	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0035418	protein_localization_to_synapse	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0061430	bone_trabecula_morphogenesis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0006356	regulation_of_transcription_by_RNA_polymerase_I	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1901269	lipooligosaccharide_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0035622	intrahepatic_bile_duct_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0016444	somatic_cell_DNA_recombination	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1901271	lipooligosaccharide_biosynthetic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0052173	response_to_defenses_of_other_organism	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0003382	epithelial_cell_morphogenesis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0070977	bone_maturation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0031571	mitotic_G1_DNA_damage_checkpoint_signaling	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0043247	telomere_maintenance_in_response_to_DNA_damage	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0010669	epithelial_structure_maintenance	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0009301	snRNA_transcription	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0042149	cellular_response_to_glucose_starvation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1902914	regulation_of_protein_polyubiquitination	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1902915	negative_regulation_of_protein_polyubiquitination	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0032196	transposition	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0032197	retrotransposition	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0034964	box_H/ACA_sno(s)RNA_processing	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0007168	receptor_guanylyl_cyclase_signaling_pathway	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0017001	antibiotic_catabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0030277	maintenance_of_gastrointestinal_epithelium	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0000495	box_H/ACA_sno(s)RNA_3'-end_processing	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1903513	endoplasmic_reticulum_to_cytosol_transport	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1990481	mRNA_pseudouridine_synthesis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0044819	mitotic_G1/S_transition_checkpoint_signaling	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0051155	positive_regulation_of_striated_muscle_cell_differentiation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0007140	male_meiotic_nuclear_division	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0050772	positive_regulation_of_axonogenesis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0090646	mitochondrial_tRNA_processing	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0099172	presynapse_organization	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0032065	maintenance_of_protein_location_in_cell_cortex	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1904152	regulation_of_retrograde_protein_transport,_ER_to_cytosol	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0097222	mitochondrial_mRNA_polyadenylation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0051149	positive_regulation_of_muscle_cell_differentiation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0020033	antigenic_variation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0052200	response_to_host_defenses	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0016074	sno(s)RNA_metabolic_process	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0043931	ossification_involved_in_bone_maturation	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0035279	miRNA-mediated_gene_silencing_by_mRNA_destabilization	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0061009	common_bile_duct_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0099054	presynapse_assembly	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048641	regulation_of_skeletal_muscle_tissue_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048643	positive_regulation_of_skeletal_muscle_tissue_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1901861	regulation_of_muscle_tissue_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:1901863	positive_regulation_of_muscle_tissue_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0048634	regulation_of_muscle_organ_development	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0031120	snRNA_pseudouridine_synthesis	1	1	0.04	0.04330
Bivalvia	Group_1_+_Group_2	GO:0031126	sno(s)RNA_3'-end_processing	1	1	0.04	0.04330
